"rt","response","dr","drt","observed","subject","condition"
0.693,1,FALSE,0,1,"s1","speed"
0.6347,1,FALSE,0,1,"s1","speed"
0.633,1,FALSE,0,1,"s1","speed"
0.6316,1,FALSE,0,1,"s1","speed"
0.7098,1,FALSE,0,1,"s1","speed"
0.6916,1,FALSE,0,1,"s1","speed"
0.568,1,FALSE,0,1,"s1","speed"
0.8064,1,FALSE,0,1,"s1","speed"
0.5924,1,FALSE,0,1,"s1","speed"
0.6249,0,FALSE,0,1,"s1","speed"
0.4137,0,FALSE,0,1,"s1","speed"
0.503,1,FALSE,0,1,"s1","speed"
0.9394,1,FALSE,0,1,"s1","speed"
0.7278,1,FALSE,0,1,"s1","speed"
0.6771,1,FALSE,0,1,"s1","speed"
0.4633,1,FALSE,0,1,"s1","speed"
0.581,1,FALSE,0,1,"s1","speed"
0.8333,1,FALSE,0,1,"s1","speed"
0.7008,1,FALSE,0,1,"s1","speed"
0.6357,1,FALSE,0,1,"s1","speed"
0.5656,1,FALSE,0,1,"s1","speed"
0.5902,1,FALSE,0,1,"s1","speed"
0.5934,0,FALSE,0,1,"s1","speed"
1.1837,0,FALSE,0,1,"s1","speed"
0.6499,1,FALSE,0,1,"s1","speed"
0.5434,1,FALSE,0,1,"s1","speed"
0.6741,1,FALSE,0,1,"s1","speed"
0.6048,1,FALSE,0,1,"s1","speed"
0.4936,0,FALSE,0,1,"s1","speed"
0.6015,0,FALSE,0,1,"s1","speed"
0.72,1,FALSE,0,1,"s1","speed"
0.6586,1,FALSE,0,1,"s1","speed"
0.6412,0,FALSE,0,1,"s1","speed"
0.5911,1,FALSE,0,1,"s1","speed"
0.9206,1,FALSE,0,1,"s1","speed"
0.6012,1,FALSE,0,1,"s1","speed"
0.6391,1,FALSE,0,1,"s1","speed"
0.4906,1,FALSE,0,1,"s1","speed"
0.8623,1,FALSE,0,1,"s1","speed"
0.7209,1,FALSE,0,1,"s1","speed"
0.6201,0,FALSE,0,1,"s1","speed"
0.9591,1,FALSE,0,1,"s1","speed"
0.4779,1,FALSE,0,1,"s1","speed"
0.6371,1,FALSE,0,1,"s1","speed"
0.9155,1,FALSE,0,1,"s1","speed"
0.7097,1,FALSE,0,1,"s1","speed"
0.6005,1,FALSE,0,1,"s1","speed"
0.4712,0,FALSE,0,1,"s1","speed"
0.5286,0,FALSE,0,1,"s1","speed"
0.6275,1,FALSE,0,1,"s1","speed"
0.7948,1,FALSE,0,1,"s1","speed"
0.5629,1,FALSE,0,1,"s1","speed"
0.6664,1,FALSE,0,1,"s1","speed"
0.955,1,FALSE,0,1,"s1","speed"
0.7089,1,FALSE,0,1,"s1","speed"
0.6513,1,FALSE,0,1,"s1","speed"
0.6981,1,FALSE,0,1,"s1","speed"
0.638,1,FALSE,0,1,"s1","speed"
0.7259,0,FALSE,0,1,"s1","speed"
0.4977,1,FALSE,0,1,"s1","speed"
0.7641,1,FALSE,0,1,"s1","speed"
0.5159,1,FALSE,0,1,"s1","speed"
0.5348,1,FALSE,0,1,"s1","speed"
0.475,1,FALSE,0,1,"s1","speed"
0.5296,1,FALSE,0,1,"s1","speed"
0.5869,1,FALSE,0,1,"s1","speed"
0.63,1,FALSE,0,1,"s1","speed"
0.5109,1,FALSE,0,1,"s1","speed"
0.5284,1,FALSE,0,1,"s1","speed"
0.5876,1,FALSE,0,1,"s1","speed"
0.708,1,FALSE,0,1,"s1","speed"
0.5251,1,FALSE,0,1,"s1","speed"
0.5024,1,FALSE,0,1,"s1","speed"
0.6254,1,FALSE,0,1,"s1","speed"
0.5525,1,FALSE,0,1,"s1","speed"
0.7715,1,FALSE,0,1,"s1","speed"
0.7174,1,FALSE,0,1,"s1","speed"
0.6127,1,FALSE,0,1,"s1","speed"
0.622,1,FALSE,0,1,"s1","speed"
0.5718,1,FALSE,0,1,"s1","speed"
0.6463,1,FALSE,0,1,"s1","speed"
0.6063,1,FALSE,0,1,"s1","speed"
0.5041,0,FALSE,0,1,"s1","speed"
0.6359,1,FALSE,0,1,"s1","speed"
0.6052,1,FALSE,0,1,"s1","speed"
0.5051,1,FALSE,0,1,"s1","speed"
0.4281,0,FALSE,0,1,"s1","speed"
1.0498,1,FALSE,0,1,"s1","speed"
0.5339,0,FALSE,0,1,"s1","speed"
1.0406,1,FALSE,0,1,"s1","speed"
0.6265,1,FALSE,0,1,"s1","speed"
0.7671,1,FALSE,0,1,"s1","speed"
0.6749,1,FALSE,0,1,"s1","speed"
0.6264,1,FALSE,0,1,"s1","speed"
0.5141,1,FALSE,0,1,"s1","speed"
0.6149,1,FALSE,0,1,"s1","speed"
0.5487,1,FALSE,0,1,"s1","speed"
0.7218,1,FALSE,0,1,"s1","speed"
0.5769,1,FALSE,0,1,"s1","speed"
0.5742,1,FALSE,0,1,"s1","speed"
0.6314,1,FALSE,0,1,"s1","speed"
0.9111,1,FALSE,0,1,"s1","speed"
0.6006,1,FALSE,0,1,"s1","speed"
0.496,1,FALSE,0,1,"s1","speed"
0.6087,1,FALSE,0,1,"s1","speed"
0.5418,0,FALSE,0,1,"s1","speed"
0.5477,1,FALSE,0,1,"s1","speed"
0.5176,1,FALSE,0,1,"s1","speed"
0.4563,1,FALSE,0,1,"s1","speed"
0.4808,1,FALSE,0,1,"s1","speed"
0.7382,1,FALSE,0,1,"s1","speed"
0.7474,1,FALSE,0,1,"s1","speed"
0.5047,1,FALSE,0,1,"s1","speed"
0.4986,1,FALSE,0,1,"s1","speed"
